timestamp,open,high,low,close,volume,initial_state,log_slope_per_day_pct,adx,atr_percent,ema_fast,ema_slow,trend_state,segment_index,timeframe,timeframe_minutes,trend_strength_score,price,confirm_trend_state,confirm_trend_strength,state_prev,market_volatility,trend_strength_avg,buy_signal,sell_signal,signal_strength,signal_type,neural_predictions,adaptive_mode
2024-01-01 00:00:00,0.0004999559955296,0.0004999576098809,0.0004941379224915,0.0004978630688926,1165.1979650383691,DOWNTREND,-8.54435201297005,42.70756698748616,2.65467209185704,0.0005010441143525,0.0005147777168636,DOWNTREND,57,1h,60,-18.24542429792903,0.0004978630688926,DOWNTREND,-16.34591333164864,NONE,,,False,False,0.0,hold,1.0,neural
2024-01-01 01:00:00,0.0004973026531321,0.0005025422570295,0.0004961584906725,0.0004988654209013,774.9423300212491,DOWNTREND,-7.570222042273237,40.451494358494166,2.535198061431518,0.0005004216305093,0.0005135047331866,DOWNTREND,57,1h,60,-15.3113397117782,0.0004988654209013,DOWNTREND,-16.34591333164864,DOWNTREND,,,False,False,0.0,hold,1.0,neural
2024-01-01 02:00:00,0.000498466291779,0.0005083629080463,0.0004792713966021,0.000502369851004,24432.909363632833,DOWNTREND,-6.556506874303887,40.01450633142926,2.790291561523961,0.0005009782649364,0.000512613942612,DOWNTREND,57,1h,60,-13.117769291694616,0.000502369851004,DOWNTREND,-16.34591333164864,DOWNTREND,,,False,False,0.0,hold,1.0,neural
2024-01-01 03:00:00,0.0005023141832441,0.0005079958655668,0.0004885865545804,0.0005018537762934,6081.131371913102,DOWNTREND,-5.456914661359706,39.61393397328643,2.882691106940454,0.0005012284110384,0.0005117531293065,DOWNTREND,57,1h,60,-10.808492854648104,0.0005018537762934,DOWNTREND,-16.34591333164864,DOWNTREND,,,False,False,0.0,hold,1.0,neural
2024-01-01 04:00:00,0.0004977718606006,0.0005027410696335,0.0004966733203405,0.0004993640415953,517.8942166781605,DOWNTREND,-4.496790770723952,39.246742644988835,2.7568996346972265,0.0005006957340546,0.0005107620022896,DOWNTREND,57,1h,60,-8.824219505348198,0.0004993640415953,DOWNTREND,-13.43582092506154,DOWNTREND,2.72395049129004,-13.261449132279632,False,False,0.0,hold,1.0,neural
2024-01-01 05:00:00,0.0004993094005923,0.0005090680995471,0.0004961359457089,0.0005048270905676,2820.5880935260443,DOWNTREND,-3.5362064220082616,37.76757193865547,2.713285016021431,0.0005018761216297,0.0005102872093519,DOWNTREND,57,1h,60,-6.677696521656625,0.0005048270905676,DOWNTREND,-13.43582092506154,DOWNTREND,2.722172912078605,-12.164157030509129,False,False,0.0,hold,1.0,neural
2024-01-01 06:00:00,0.0005075513389858,0.0005180014091975,0.0005023553991233,0.0005157581381311,1328.2718353906032,DOWNTREND,-2.7604234819027935,35.04387582426748,2.687263881314784,0.0005058424120587,0.0005107248836542,DOWNTREND,57,1h,60,-4.836796886109679,0.0005157581381311,DOWNTREND,-13.43582092506154,DOWNTREND,2.7171859076837737,-11.117391295594922,False,False,0.0,hold,1.0,neural
2024-01-01 07:00:00,0.0005127305299816,0.0005157174071081,0.0005083612110275,0.0005126370336615,1847.0494058507609,RANGE,-2.1161412730359097,32.54715438607849,2.598565852922087,0.0005077837325166,0.0005108778556548,UPTREND,58,1h,60,-3.443718835812621,0.0005126370336615,DOWNTREND,-13.43582092506154,DOWNTREND,2.7023584008385626,-10.158182238122134,False,False,0.0,hold,1.0,neural
2024-01-01 08:00:00,0.0005126520467044,0.0005174465183091,0.0005111277935932,0.0005165253174323,1322.775249228336,RANGE,-1.5236783553155653,29.994211339549935,2.466030213896516,0.0005102813282068,0.000511329652597,UPTREND,58,1h,60,-2.2850765301416462,0.0005165253174323,DOWNTREND,-9.390845571422716,UPTREND,2.6760997134005575,-9.283392715013191,False,False,0.0,hold,1.0,neural
2024-01-01 09:00:00,0.0005175688758931,0.0005367643168768,0.0005145299251109,0.0005229497620615,7830.675097401448,RANGE,-0.8484671923213635,29.61914164449579,2.5870675961184535,0.0005139008807367,0.0005122592613541,UPTREND,58,1h,60,-1.256543497503706,0.0005229497620615,DOWNTREND,-9.390845571422716,UPTREND,2.667196501672347,-8.480707793262242,False,False,0.0,hold,1.0,neural
