stage,trial_id,strategy,parameters,best_objective,best_objective_score,total_return_pct,buy_hold_return_pct,buy_hold_max_drawdown_pct,max_drawdown_pct,cagr_pct,sharpe_ratio,sortino_ratio,win_rate_pct,total_trades,profit_factor,recovery_factor,total_cost_pct,avg_cost_per_trade_pct,final_balance
all,1,CSMARevertStrategy,"{""entry_drop"": true, ""exit_up"": true, ""n_sma"": 319, ""rsi_max"": 42.742755238454414, ""rsi_period"": 31, ""timeframe_minutes"": 5}",final_balance,1000.0,0.0,200.10062012394803,-99.7381334979267,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1000.0
1y,1,CSMARevertStrategy,"{""entry_drop"": false, ""exit_up"": true, ""n_sma"": 382, ""rsi_max"": 34.13185261213215, ""rsi_period"": 18, ""timeframe_minutes"": 5}",final_balance,783.74738998718,-21.625261001282,-24.21430939037421,-99.7381334979267,-99.7381334979267,-21.7461972591529,1.833145476504932,1.963293641951604,0.0,1,0.0,-0.2168203899838524,2.665817252377832,2.665817252377832,783.74738998718
30d,1,CSMARevertStrategy,"{""entry_drop"": false, ""exit_up"": 0.048, ""n_sma"": 450, ""rsi_max"": 16.193680857882853, ""rsi_period"": 14, ""timeframe_minutes"": 5}",final_balance,660.8336748544435,-33.916632514555644,-20.93850507824053,-38.783622969811795,-35.86598979540882,-99.35380877195932,-2.768658697982026,-3.0263317734538293,25.0,8,0.1002697147558061,-0.9456488642311855,19.604991560664185,2.4506239450830227,660.8336748544435
90d,1,CSMARevertStrategy,"{""entry_drop"": false, ""exit_up"": 0.048, ""n_sma"": 635, ""rsi_max"": 40.722479581429226, ""rsi_period"": 39, ""timeframe_minutes"": 5}",final_balance,594.045273303736,-40.5954726696264,-30.387024119375617,-66.00856522917186,-63.76145230165248,-87.91681422390415,0.0026370267831461,0.0023793825656861,58.82352941176471,34,0.5952432461896591,-0.6366773529180467,93.270550250788,2.743251477964353,594.045273303736
