trial_id,strategy,parameters,best_objective,best_objective_score,total_return_pct,buy_hold_return_pct,buy_hold_max_drawdown_pct,max_drawdown_pct,cagr_pct,sharpe_ratio,sortino_ratio,win_rate_pct,total_trades,profit_factor,recovery_factor,total_cost_pct,avg_cost_per_trade_pct,final_balance
99,Strategy_62_RSIAvgs,"{""ma_periods"": [5, 10, 20], ""overbought"": 37, ""oversold"": 22, ""rsi_period"": 35, ""signal_threshold"": 0.3961624541239295}",mar,17406003921.92126,1740.600392192126,-95.69068779500314,-99.54192599145347,-33.77419972915773,13931646.374454493,8.114195306821747,1.705624483094904,100.0,3,inf,51.5363918656951,88.16672797604218,29.388909325347395,18406.00392192126
31,CompositeMomentumIndexStrategy,"{""roc_period"": 13, ""rsi_period"": 25, ""signal_threshold"": 0.6375133339730881, ""tsi_long"": 37, ""tsi_short"": 13}",mar,14866234606.99233,1486.6234606992332,-95.69068779500314,-99.54192599145347,-87.52449446209522,7616695.197789301,5.103328544692869,3.4612486168922802,85.71428571428571,7,17.69862507721114,16.98522761925868,120.05348226552357,17.150497466503367,15866.234606992331
1,CompositeMomentumIndexStrategy,"{""roc_period"": 11, ""rsi_period"": 25, ""signal_threshold"": 0.25836276689479737, ""tsi_long"": 21, ""tsi_short"": 13}",mar,11519355453.0968,1151.93554530968,-95.69068779500314,-99.54192599145347,-90.90899942035837,2906320.713869346,4.709087703963495,3.3681353906464953,85.71428571428571,7,11.705995041496587,12.671303750503197,82.92806272080632,11.846866102972331,12519.3554530968
154,Strategy_62_RSIAvgs,"{""ma_periods"": [5, 10, 20], ""overbought"": 56, ""oversold"": 33, ""rsi_period"": 48, ""signal_threshold"": 0.840275063826293}",mar,9976686533.57271,997.6686533572711,-95.69068779500314,-99.54192599145347,-33.77419972915773,1702511.7693044755,7.383691798695239,2.10145650039641,100.0,7,inf,29.539372105269162,92.58705475115994,13.226722107308563,10976.68653357271
162,CSMARevertStrategy,"{""atr_floor_pct"": 0.8519733897852104, ""atr_mult"": 3.616617285493693, ""atr_period"": 39, ""entry_drop"": 0.7516862248172578, ""exit_up"": 0.6972664657046205, ""n_sma"": 775, ""rsi_max"": 43.455226885608454, ""rsi_period"": 44, ""timeframe_minutes"": 5}",mar,9280900364.482037,928.0900364482036,-95.69068779500314,-99.54192599145347,-73.56834732914186,1304456.3527704112,4.619448264982303,1.9675255586694897,100.0,2,inf,12.61534437216546,47.17981600351495,23.589908001757475,10280.900364482037
67,CSMARevertStrategy,"{""atr_floor_pct"": 0.6134108380679594, ""atr_mult"": 3.6263139800021897, ""atr_period"": 5, ""entry_drop"": 0.9391160828371421, ""exit_up"": 0.36923170720375, ""n_sma"": 680, ""rsi_max"": 32.4087917057541, ""rsi_period"": 22, ""timeframe_minutes"": 5}",mar,8746569314.318184,874.6569314318185,-95.69068779500314,-99.54192599145347,-71.70570864298075,1049933.2293619371,5.589546825479555,1.4857628024529161,100.0,1,inf,12.197870267020063,24.70825467006572,24.70825467006572,9746.569314318185
6,CompositeMomentumIndexStrategy,"{""roc_period"": 6, ""rsi_period"": 24, ""signal_threshold"": 0.7, ""tsi_long"": 18, ""tsi_short"": 17}",mar,8702416894.51169,870.2416894511691,-95.69068779500314,-99.54192599145347,-90.90899942035837,1030723.8642651503,4.360585998594052,3.4476661739144827,80.0,5,17.96435696279698,9.572668217666966,47.52258044191905,9.50451608838381,9702.41689451169
51,CompositeMomentumIndexStrategy,"{""roc_period"": 10, ""rsi_period"": 27, ""signal_threshold"": 0.030338177546716298, ""tsi_long"": 40, ""tsi_short"": 8}",mar,8605701287.567839,860.570128756784,-95.69068779500314,-99.54192599145347,-90.90899942035837,989572.6091054679,4.382029460054449,3.178863299793784,80.0,5,11.773972543567618,9.466280942963122,41.84999498356967,8.369998996713935,9605.70128756784
32,CSMARevertStrategy,"{""atr_floor_pct"": 0.003, ""atr_mult"": 3.7931917278678835, ""atr_period"": 48, ""entry_drop"": 0.3931903580257967, ""exit_up"": 0.048, ""n_sma"": 444, ""rsi_max"": 32.148145007715854, ""rsi_period"": 35, ""timeframe_minutes"": 5}",mar,7801463543.697567,780.1463543697568,-95.69068779500314,-99.54192599145347,-92.18318994521731,693434.5551876208,4.789643674357087,1.3274234530245235,100.0,7,inf,8.463000193781346,80.1484424377635,11.449777491109073,8801.463543697568
172,CSMARevertStrategy,"{""atr_floor_pct"": 0.003, ""atr_mult"": 3.91473140485853, ""atr_period"": 27, ""entry_drop"": 0.4860540385639244, ""exit_up"": 0.3372685115015257, ""n_sma"": 484, ""rsi_max"": 21.020198150647733, ""rsi_period"": 25, ""timeframe_minutes"": 5}",mar,7375490411.099688,737.5490411099688,-95.69068779500314,-99.54192599145347,-92.18318994521731,566734.1119117168,4.814242875421585,1.1371520774453046,100.0,5,inf,8.000906038815536,59.301247223646925,11.860249444729385,8375.490411099689
