trial_id,strategy,parameters,best_objective,best_objective_score,total_return_pct,buy_hold_return_pct,buy_hold_max_drawdown_pct,max_drawdown_pct,cagr_pct,sharpe_ratio,sortino_ratio,win_rate_pct,total_trades,profit_factor,recovery_factor,total_cost_pct,avg_cost_per_trade_pct,final_balance
73,CSMARevertStrategy,"{""atr_floor_pct"": 0.49592908703166105, ""atr_mult"": 2.2626009962862574, ""atr_period"": 48, ""entry_drop"": 0.25, ""exit_up"": 0.161686255038352, ""n_sma"": 765, ""rsi_max"": 34.8601661005047, ""rsi_period"": 9, ""timeframe_minutes"": 5}",mar,4764220405.729239,476.42204057292395,200.10062012394803,-99.7381334979267,-92.98167070741499,145.40195407050916,1.5550227719246361,0.6149539245778323,70.58823529411765,17,4.143700931173207,5.123827491464195,244.529782805356,14.384104870903295,5764.220405729239
169,DonchianChampionAggressiveStrategy,"{""ema_exit_days"": 2.600835467517249, ""entry_days"": 12.116595448856451, ""exit_days"": 2.0, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": 0.3189207732556345}",mar,4750945129.840643,475.0945129840643,200.10062012394803,-99.7381334979267,-88.29960253250255,145.11214153314307,1.5062622009153577,0.6812946106817661,45.16129032258064,31,2.79518402100809,5.380483030024794,750.0006358584136,24.193568898658505,5750.945129840643
173,CSMARevertStrategy,"{""atr_floor_pct"": 0.003, ""atr_mult"": 1.8, ""atr_period"": 48, ""entry_drop"": 0.3539830439314342, ""exit_up"": 0.6908942629154845, ""n_sma"": 943, ""rsi_max"": 34.86439633324627, ""rsi_period"": 35, ""timeframe_minutes"": 5}",mar,4704689795.836324,470.4689795836324,200.10062012394803,-99.7381334979267,-92.18318994521731,144.09978474746566,1.5353142347469062,0.2533159792256183,77.77777777777779,9,6.281679492643134,5.103630931661435,65.15041777073641,7.2389353078596015,5704.689795836324
67,GridTradingStrategyV2Aggressive,"{""allow_bear_breakout_sell"": 1, ""atr_mult"": 0.9586750529708297, ""breakout_slope_min"": 0.002258768657155326, ""breakout_window"": 35, ""buy_spacing_mult_bear"": 1.0508113975361713, ""center_lookback"": 31, ""cooldown_bars"": 2, ""fee_pct"": 0.0025, ""min_edge_pct"": 0.013462782331944033, ""min_step_pct"": 0.02, ""min_strength"": 0.5731336157999776, ""no_sell_above_ema_fast_in_bull"": 0, ""num_grids"": 18, ""recenter_dwell_bars"": 4, ""recenter_threshold_pct"": 0.15059679017960778, ""sell_spacing_mult_bull"": 1.7174265569607012, ""side_when_bear"": 0, ""slippage_pct"": 0.01, ""strong_slope_min"": 0.006569123230382114, ""timeframe_minutes"": 60, ""tol_buy_hi"": 0.005, ""tol_buy_lo"": 0.0061072050331149805, ""tol_sell_hi"": 0.01674572224160683, ""tol_sell_lo"": 0.009031172127926767, ""trail_atr_mult"": 1.066844078422109, ""trend_ema_fast"": 38, ""trend_ema_slow"": 167}",mar,4670266804.374601,467.02668043746013,200.10062012394803,-99.7381334979267,-97.31956314669048,143.3437942132668,1.6816154985470808,1.0263768188884312,88.57142857142857,35,35.59587059290595,4.798898241389631,438.39500353443907,12.525571529555402,5670.266804374602
148,CSMARevertStrategy,"{""atr_floor_pct"": 0.4710913367748265, ""atr_mult"": 2.298637249334095, ""atr_period"": 47, ""entry_drop"": 0.25, ""exit_up"": 0.26152438642592435, ""n_sma"": 861, ""rsi_max"": 34.76747350145239, ""rsi_period"": 38, ""timeframe_minutes"": 5}",mar,4585169404.900667,458.5169404900667,200.10062012394803,-99.7381334979267,-93.44545958361982,141.46524346416416,1.58342860918402,1.0673866968910257,73.33333333333333,15,4.159082239446337,4.906786723861763,209.74796735740813,13.983197823827208,5585.169404900667
179,DonchianChampionAggressiveStrategy,"{""ema_exit_days"": 2.8784811320984973, ""entry_days"": 10.1464384515384, ""exit_days"": 1.538938214985737, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": 0.28015735075785597}",mar,4529436984.043026,452.9436984043026,200.10062012394803,-99.7381334979267,-86.0751107605593,140.2273631666338,1.4989032428543427,0.6377636637299666,50.0,36,2.3357635801177907,5.262191293186778,1002.5499767135109,27.84861046426419,5529.436984043026
184,DonchianChampionAggressiveStrategy,"{""ema_exit_days"": 2.6132893444270633, ""entry_days"": 10.918553814699385, ""exit_days"": 2.0263703811979337, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": 0.5521949036447351}",mar,4499771826.12504,449.977182612504,200.10062012394803,-99.7381334979267,-88.03539588216661,139.5659855901088,1.482734077334741,0.6828321349826916,43.75,32,2.6628572815090545,5.111321169212306,672.949841813796,21.029682556681124,5499.77182612504
86,CompositeMomentumIndexStrategy,"{""roc_period"": 15, ""rsi_period"": 18, ""signal_threshold"": 0.08270893153478524, ""tsi_long"": 25, ""tsi_short"": 14}",mar,4433519481.542442,443.35194815424427,200.10062012394803,-99.7381334979267,-94.26612721001987,138.08259707971135,1.3897003569706885,1.158939072259676,55.172413793103445,29,2.9967718259027163,4.703194681653569,309.90238963246065,10.686289297671056,5433.519481542443
39,DonchianChampionAggressiveStrategy,"{""ema_exit_days"": 2.12015058199409, ""entry_days"": 11.0, ""exit_days"": 2.4541093903377362, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": 0.5893330213030987}",mar,4351024565.374784,435.1024565374785,200.10062012394803,-99.7381334979267,-89.26730699590095,136.22315694055177,1.4642781314834594,0.7013451592409063,43.333333333333336,30,2.6596636823139246,4.87415237649611,661.6872979004337,22.05624326334779,5351.024565374785
22,GridTradingStrategyV2Aggressive,"{""allow_bear_breakout_sell"": 1, ""atr_mult"": 0.8470301503688603, ""breakout_slope_min"": 0.00037501670502495605, ""breakout_window"": 20, ""buy_spacing_mult_bear"": 1.2, ""center_lookback"": 35, ""cooldown_bars"": 3, ""fee_pct"": 0.0025, ""min_edge_pct"": 0.020641933743978144, ""min_step_pct"": 0.02, ""min_strength"": 0.6133107271826226, ""no_sell_above_ema_fast_in_bull"": 0, ""num_grids"": 15, ""recenter_dwell_bars"": 15, ""recenter_threshold_pct"": 0.14081141062933378, ""sell_spacing_mult_bull"": 1.3, ""side_when_bear"": 1, ""slippage_pct"": 0.01, ""strong_slope_min"": 0.0012415662532445134, ""timeframe_minutes"": 60, ""tol_buy_hi"": 0.015237585044278742, ""tol_buy_lo"": 0.006795894553629542, ""tol_sell_hi"": 0.018811705508607786, ""tol_sell_lo"": 0.00471760077359952, ""trail_atr_mult"": 1.7085160308528993, ""trend_ema_fast"": 79, ""trend_ema_slow"": 132}",mar,4313874247.925212,431.3874247925212,200.10062012394803,-99.7381334979267,-99.52367827431486,135.38122481310023,1.7344904402491061,1.4834070994747623,100.0,9,inf,4.334520510822538,100.7488134553173,11.194312606146367,5313.874247925212
