stage,trial_id,strategy,parameters,best_objective,best_objective_score,total_return_pct,buy_hold_return_pct,buy_hold_max_drawdown_pct,max_drawdown_pct,cagr_pct,sharpe_ratio,sortino_ratio,win_rate_pct,total_trades,profit_factor,recovery_factor,total_cost_pct,avg_cost_per_trade_pct,final_balance
all,26,CompositeMomentumIndexStrategy,"{""roc_period"": 16, ""rsi_period"": 28, ""signal_threshold"": 0.7, ""tsi_long"": 33, ""tsi_short"": 17}",mar,45085764023.712715,4508.576402371272,200.10062012394803,-99.7381334979267,-87.52449446209522,612.1551761195847,1.9967760741485965,1.7712847214093224,62.5,16,7.606074950911505,51.51216730904775,2800.3079810627664,175.0192488164229,46085.76402371272
all,146,CompositeMomentumIndexStrategy,"{""roc_period"": 19, ""rsi_period"": 27, ""signal_threshold"": 0.8777080350368626, ""tsi_long"": 40, ""tsi_short"": 16}",mar,43361891098.06614,4336.1891098066135,200.10062012394803,-99.7381334979267,-87.6948924860448,598.3760527629306,1.9838067952121057,1.7813826124573442,58.82352941176471,17,6.728153072467673,49.44631308484296,3280.7096578021665,192.98292104718627,44361.89109806614
all,141,CompositeMomentumIndexStrategy,"{""roc_period"": 12, ""rsi_period"": 28, ""signal_threshold"": 0.14624604542960742, ""tsi_long"": 19, ""tsi_short"": 13}",mar,37693925930.822334,3769.392593082234,200.10062012394803,-99.7381334979267,-93.00880840679255,551.1240548790865,1.9537932301173695,1.5220486552029238,62.5,16,7.860782894541978,40.52726464998932,1158.1652156539578,72.38532597837236,38693.92593082234
1y,53,CSMARevertStrategy,"{""atr_floor_pct"": 0.003, ""atr_mult"": 1.0211334688265894, ""atr_period"": 27, ""entry_drop"": 0.49206906675265416, ""exit_up"": 0.9836474354499052, ""n_sma"": 576, ""rsi_max"": 20.01507454709643, ""rsi_period"": 14, ""timeframe_minutes"": 5}",mar,31805439125.80817,3180.543912580817,-24.21430939037421,-99.7381334979267,-92.18318994521732,3253.923287399694,3.090209071340939,0.4725450538893754,87.5,8,110.30734545854492,34.50242841966038,664.0014367733255,83.00017959666569,32805.439125808174
1y,1,CompositeMomentumIndexStrategy,"{""roc_period"": 6, ""rsi_period"": 14, ""signal_threshold"": 0.9076112566637617, ""tsi_long"": 30, ""tsi_short"": 13}",mar,31527613518.386536,3152.761351838654,-24.21430939037421,-99.7381334979267,-90.90899942035836,3225.3400444779622,2.6999685039601524,1.9990535541093295,59.09090909090909,22,5.957934447048713,34.680409771759265,1359.1535561472604,61.779707097602746,32527.61351838654
1y,86,CompositeMomentumIndexStrategy,"{""roc_period"": 6, ""rsi_period"": 15, ""signal_threshold"": 0.8000934288133054, ""tsi_long"": 25, ""tsi_short"": 7}",mar,29026490446.81341,2902.649044681342,-24.21430939037421,-99.7381334979267,-91.11017002320258,2968.090901914809,2.658583341337938,2.064102781708585,60.0,25,5.070186522726569,31.858672241991624,1187.167280469742,47.48669121878968,30026.490446813412
1y,56,CompositeMomentumIndexStrategy,"{""roc_period"": 8, ""rsi_period"": 19, ""signal_threshold"": 0.11132368698940312, ""tsi_long"": 15, ""tsi_short"": 14}",mar,25543830268.3942,2554.3830268394204,-24.21430939037421,-99.7381334979267,-90.90899942035836,2610.1162845388812,2.6250777971317683,1.7248933297267213,63.1578947368421,19,6.0965801042569385,28.098241572631213,511.9801510421066,26.946323739058244,26543.8302683942
1y,41,CompositeMomentumIndexStrategy,"{""roc_period"": 15, ""rsi_period"": 23, ""signal_threshold"": 0.7, ""tsi_long"": 38, ""tsi_short"": 13}",mar,23202092439.307888,2320.209243930789,-24.21430939037421,-99.7381334979267,-87.52449446209522,2369.5797144614507,2.737579674791909,1.165710776910893,66.66666666666666,15,12.430955914749909,26.509256159549903,460.45309819058247,30.696873212705498,24202.09243930789
all,76,CompositeMomentumIndexStrategy,"{""roc_period"": 5, ""rsi_period"": 12, ""signal_threshold"": 0.7045354697966038, ""tsi_long"": 31, ""tsi_short"": 13}",mar,21608201749.635426,2160.8201749635427,200.10062012394803,-99.7381334979267,-94.65997356737638,394.3774029155307,1.8058654464414832,1.6156091802780228,63.63636363636363,33,3.9356078147039777,22.827179150071597,1109.887381101265,33.63295094246257,22608.201749635427
all,43,CSMARevertStrategy,"{""atr_floor_pct"": 0.05178650048983968, ""atr_mult"": 2.460243582538723, ""atr_period"": 6, ""entry_drop"": 0.15306538917388224, ""exit_up"": 0.5166054881154637, ""n_sma"": 642, ""rsi_max"": 19.199117789041175, ""rsi_period"": 41, ""timeframe_minutes"": 5}",mar,21419459704.445755,2141.945970444576,200.10062012394803,-99.7381334979267,-92.41006086403578,392.2578710813717,1.9785638739207787,0.6193064199746342,72.41379310344827,29,5.525237079043211,23.17870966015325,1474.363912110977,50.84013490037851,22419.459704445755
1y,51,CompositeMomentumIndexStrategy,"{""roc_period"": 11, ""rsi_period"": 22, ""signal_threshold"": 0.7128305509915733, ""tsi_long"": 19, ""tsi_short"": 10}",mar,20302331637.457302,2030.2331637457305,-24.21430939037421,-99.7381334979267,-90.90899942035836,2071.930958826434,2.5182858156934724,1.7683272272398145,63.1578947368421,19,6.0608225266607985,22.332587276184174,410.84803109757456,21.623580584082873,21302.331637457304
1y,151,CompositeMomentumIndexStrategy,"{""roc_period"": 7, ""rsi_period"": 14, ""signal_threshold"": 0.7, ""tsi_long"": 40, ""tsi_short"": 15}",mar,18771974642.09897,1877.1974642098971,-24.21430939037421,-99.7381334979267,-90.90899942035836,1914.9474770061267,2.485603752880301,1.713262774156932,61.904761904761905,21,5.195704056460442,20.649192887162204,685.7899765695581,32.656665550931336,19771.974642098972
1y,136,CompositeMomentumIndexStrategy,"{""roc_period"": 10, ""rsi_period"": 28, ""signal_threshold"": 0.6275648028963419, ""tsi_long"": 15, ""tsi_short"": 13}",mar,17772724991.20889,1777.2724991208888,-24.21430939037421,-99.7381334979267,-90.90899942035836,1812.4860060430856,2.5177701339311716,1.1372422174907586,66.66666666666666,12,9.751098270629928,19.550017164998984,271.7239251502642,22.643660429188685,18772.72499120889
1y,46,CompositeMomentumIndexStrategy,"{""roc_period"": 10, ""rsi_period"": 19, ""signal_threshold"": 0.7298982503389866, ""tsi_long"": 18, ""tsi_short"": 6}",mar,17654569219.931816,1765.4569219931818,-24.21430939037421,-99.7381334979267,-93.48002819542464,1800.3727512195542,2.4520667169734005,1.893487996748048,60.0,25,4.402376885288313,18.885926289008022,591.6612607857344,23.666450431429375,18654.56921993182
all,158,CSMARevertStrategy,"{""atr_floor_pct"": 0.45153919558384914, ""atr_mult"": 3.7547581906055676, ""atr_period"": 48, ""entry_drop"": 0.7516363689987844, ""exit_up"": 0.6529628531814655, ""n_sma"": 646, ""rsi_max"": 33.59603899027965, ""rsi_period"": 28, ""timeframe_minutes"": 5}",mar,17619439696.658844,1761.9439696658844,200.10062012394803,-99.7381334979267,-73.56834732914186,347.56419160891693,1.8874790659014915,0.3819404114675628,100.0,2,inf,23.949756024598695,88.58676115807799,44.293380579038995,18619.439696658843
1y,10,Strategy_62_RSIAvgs,"{""ma_periods"": [5, 10, 20], ""overbought"": 68, ""oversold"": 26, ""rsi_period"": 33, ""signal_threshold"": 0.09795956342983214}",mar,17188944285.97312,1718.894428597312,-24.21430939037421,-99.7381334979267,-71.70570864298075,1752.64194107239,3.3053355742819273,0.5349252910925918,100.0,5,inf,23.971514418128187,123.84754548367016,24.769509096734033,18188.94428597312
1y,71,CompositeMomentumIndexStrategy,"{""roc_period"": 10, ""rsi_period"": 19, ""signal_threshold"": 0.5800250191973589, ""tsi_long"": 22, ""tsi_short"": 6}",mar,17062922571.77044,1706.2922571770443,-24.21430939037421,-99.7381334979267,-93.43930197612067,1739.724887203433,2.439341955171499,1.8599710199624409,58.333333333333336,24,4.511016512883751,18.26096964651024,549.7711783330855,22.90713243054523,18062.922571770443
all,119,DonchianChampionAggressiveStrategy,"{""ema_exit_days"": 3.0, ""entry_days"": 9.48268690599476, ""exit_days"": 2.846338102403259, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": 0.2}",mar,16558880311.182228,1655.888031118223,200.10062012394803,-99.7381334979267,-63.96150908243281,334.3122876619699,2.041822292921389,1.0412027770984564,37.142857142857146,35,3.0817010247163132,25.88882055587736,3289.3029012748534,93.98008289356724,17558.880311182227
1y,25,Strategy_62_RSIAvgs,"{""ma_periods"": [5, 10, 20], ""overbought"": 54, ""oversold"": 28, ""rsi_period"": 26, ""signal_threshold"": 0.9544503206290276}",mar,16232175198.999174,1623.2175198999175,-24.21430939037421,-99.7381334979267,-31.66339366871679,1654.5888950831795,4.2104418113888915,0.9162561068819566,69.56521739130434,23,11.788569166511929,51.264799246823785,408.08411894972414,17.742787780422788,17232.175198999175
all,9,DonchianChampionAggressiveStrategy,"{""ema_exit_days"": 4.424146856174553, ""entry_days"": 11.0, ""exit_days"": 1.6017955342732424, ""timeframe_minutes"": 5, ""trailing_drawdown_pct"": 0.1969679268736173}",mar,16155269717.540224,1615.5269717540225,200.10062012394803,-99.7381334979267,-64.0838806903338,329.16694252002907,2.077606129805132,0.9923220527232502,42.857142857142854,35,3.0811304199386167,25.20956837118797,3239.6892713272136,92.56255060934896,17155.269717540225
