stage,trial_id,strategy,parameters,best_objective,best_objective_score,total_return_pct,buy_hold_return_pct,buy_hold_max_drawdown_pct,max_drawdown_pct,cagr_pct,sharpe_ratio,sortino_ratio,win_rate_pct,total_trades,profit_factor,recovery_factor,total_cost_pct,avg_cost_per_trade_pct,final_balance
1y,161,CompositeMomentumIndexStrategy,"{""roc_period"": 7, ""rsi_period"": 25, ""signal_threshold"": 0.5527136641768748, ""tsi_long"": 25, ""tsi_short"": 18}",mar,337277909766.6042,33727.79097666042,-24.21430939037421,-99.7381334979267,-90.90899942035836,34999.65499995257,3.6194103955735137,3.5121376326871414,66.66666666666666,9,32.33072850471743,371.00607411489494,19438.623956748128,2159.8471063053476,338277.90976660425
all,116,CompositeMomentumIndexStrategy,"{""roc_period"": 10, ""rsi_period"": 19, ""signal_threshold"": 0.7573624813901406, ""tsi_long"": 32, ""tsi_short"": 12}",mar,112396750923.3494,11239.67509233494,200.10062012394803,-99.7381334979267,-90.90899942035836,1029.7404563769946,2.2267114873686196,1.9675581609508488,68.0,25,7.597015882231473,123.6365504405486,9151.030970983991,366.04123883935966,113396.75092334942
all,21,CompositeMomentumIndexStrategy,"{""roc_period"": 10, ""rsi_period"": 19, ""signal_threshold"": 0.6181073924288187, ""tsi_long"": 25, ""tsi_short"": 17}",mar,103286672790.37386,10328.667279037383,200.10062012394803,-99.7381334979267,-90.90899942035836,982.27644689085,2.2051967333170293,1.9493827777895216,68.0,25,7.206926400738515,113.61545440928435,8071.446153790494,322.85784615161975,104286.67279037384
all,121,CompositeMomentumIndexStrategy,"{""roc_period"": 11, ""rsi_period"": 24, ""signal_threshold"": 0.5020289945426228, ""tsi_long"": 25, ""tsi_short"": 11}",mar,91528605029.4249,9152.860502942489,200.10062012394803,-99.7381334979267,-90.90899942035836,917.9173181276774,2.209273388390563,1.6581666962579464,60.0,20,8.36486159418968,100.68156685588572,6133.388847296509,306.66944236482544,92528.60502942489
all,160,Strategy_62_RSIAvgs,"{""ma_periods"": [5, 10, 20], ""overbought"": 80, ""oversold"": 24, ""rsi_period"": 23, ""signal_threshold"": 0.6}",mar,83116165684.5098,8311.61656845098,200.10062012394803,-99.7381334979267,-87.52449446209522,869.3862518676389,2.1890881373309403,1.941572282772609,72.72727272727273,11,12.168486270483314,94.96331992012296,1839.4001182880015,167.21819257163654,84116.16568450979
1y,76,CompositeMomentumIndexStrategy,"{""roc_period"": 6, ""rsi_period"": 24, ""signal_threshold"": 0.4835151479866119, ""tsi_long"": 40, ""tsi_short"": 20}",mar,82283011116.55632,8228.301111655632,-24.21430939037421,-99.7381334979267,-90.90899942035836,8465.010461603853,3.0297980750605435,2.971377645804291,75.0,4,61.90407492648627,90.5114033167212,1348.939542719728,337.234885679932,83283.01111655631
1y,181,CompositeMomentumIndexStrategy,"{""roc_period"": 8, ""rsi_period"": 18, ""signal_threshold"": 0.2008737850386256, ""tsi_long"": 25, ""tsi_short"": 19}",mar,77847381711.31947,7784.738171131949,-24.21430939037421,-99.7381334979267,-90.90899942035836,8006.028360530748,3.063530486471711,2.5220527760315763,64.70588235294117,17,11.22044798894006,85.6322060606534,4593.861719466336,270.22715996860796,78847.38171131948
all,86,CompositeMomentumIndexStrategy,"{""roc_period"": 6, ""rsi_period"": 17, ""signal_threshold"": 0.6068639011838086, ""tsi_long"": 16, ""tsi_short"": 9}",mar,75164564386.35632,7516.456438635633,200.10062012394803,-99.7381334979267,-94.10737964555024,821.2862913071497,2.1213560510023703,1.9495345450018065,64.51612903225806,31,6.068233031401716,79.87106289587398,9831.2413387393,317.13681737868706,76164.56438635633
all,181,CompositeMomentumIndexStrategy,"{""roc_period"": 14, ""rsi_period"": 24, ""signal_threshold"": 0.9206368898577285, ""tsi_long"": 29, ""tsi_short"": 9}",mar,72104480453.6642,7210.448045366421,200.10062012394803,-99.7381334979267,-90.90899942035836,802.1267252643195,2.1384359714279126,1.6662170599101354,71.42857142857143,21,8.058627913050756,79.31500831975603,4997.95378580041,237.99779932382904,73104.4804536642
all,91,CompositeMomentumIndexStrategy,"{""roc_period"": 10, ""rsi_period"": 29, ""signal_threshold"": 0.7, ""tsi_long"": 32, ""tsi_short"": 13}",mar,69839643318.07707,6983.964331807708,200.10062012394803,-99.7381334979267,-90.90899942035836,787.6932477350305,2.108862771977693,1.8336323697753232,54.54545454545454,11,12.57421167765214,76.82368496340202,5176.22605810094,470.5660052819036,70839.64331807708
