stage,trial_id,strategy,parameters,best_objective,best_objective_score,total_return_pct,buy_hold_return_pct,buy_hold_max_drawdown_pct,max_drawdown_pct,cagr_pct,sharpe_ratio,sortino_ratio,win_rate_pct,total_trades,profit_factor,recovery_factor,total_cost_pct,avg_cost_per_trade_pct,final_balance
all,196,CompositeMomentumIndexStrategy,"{""roc_period"": 7, ""rsi_period"": 24, ""signal_threshold"": 0.7, ""tsi_long"": 39, ""tsi_short"": 19}",mar,461810204299.2245,46181.02042992245,200.10062012394803,-99.7381334979267,-90.90899942035836,2222.809743998894,2.5537330434544674,2.510225140826119,62.5,8,22.13762275199362,507.9917359598677,9143.94538313099,1142.9931728913737,462810.2042992245
all,46,CompositeMomentumIndexStrategy,"{""roc_period"": 5, ""rsi_period"": 22, ""signal_threshold"": 0.5771957715457045, ""tsi_long"": 23, ""tsi_short"": 17}",mar,372108745701.5778,37210.87457015779,200.10062012394803,-99.7381334979267,-90.90899942035836,1979.9863515040888,2.5068832327486796,2.394797740113527,64.28571428571429,14,18.64222910738796,409.3200322016161,22389.277151723236,1599.2340822659455,373108.74570157786
all,176,CompositeMomentumIndexStrategy,"{""roc_period"": 5, ""rsi_period"": 20, ""signal_threshold"": 0.609984887159707, ""tsi_long"": 28, ""tsi_short"": 10}",mar,371860023414.07965,37186.00234140796,200.10062012394803,-99.7381334979267,-90.90899942035836,1979.275625000608,2.5175849975479427,2.2654934260509947,66.66666666666666,18,12.777130300879648,409.0464374100288,22422.735276720905,1245.7075153733836,372860.0234140796
all,56,CompositeMomentumIndexStrategy,"{""roc_period"": 5, ""rsi_period"": 27, ""signal_threshold"": 0.12652681920540976, ""tsi_long"": 25, ""tsi_short"": 13}",mar,280151869642.07666,28015.18696420767,200.10062012394803,-99.7381334979267,-91.57229474359036,1699.191228371038,2.426648815741016,2.4585656224364985,57.14285714285714,7,26.07708401540511,305.93518533801523,5680.7328304692965,811.5332614956138,281151.86964207666
1y,81,CompositeMomentumIndexStrategy,"{""roc_period"": 6, ""rsi_period"": 21, ""signal_threshold"": 0.3099420778735761, ""tsi_long"": 23, ""tsi_short"": 10}",mar,221940858313.14352,22194.08583131435,-24.21430939037421,-99.7381334979267,-90.90899942035836,22971.257316421408,3.470614827557229,3.112625438109797,64.28571428571429,14,22.264414185784513,244.13518983626784,12809.442511177209,914.9601793698004,222940.85831314352
all,1,CompositeMomentumIndexStrategy,"{""roc_period"": 5, ""rsi_period"": 17, ""signal_threshold"": 0.7, ""tsi_long"": 30, ""tsi_short"": 8}",mar,216166794667.14993,21616.679466714995,200.10062012394803,-99.7381334979267,-90.90899942035836,1476.1659055145326,2.374941608118675,2.289813566331679,50.0,20,10.557472094246227,237.7837134337011,13069.034489924248,653.4517244962124,217166.79466714995
all,151,CompositeMomentumIndexStrategy,"{""roc_period"": 10, ""rsi_period"": 29, ""signal_threshold"": 0.29060959541392195, ""tsi_long"": 20, ""tsi_short"": 20}",mar,135470893814.09714,13547.089381409714,200.10062012394803,-99.7381334979267,-90.90899942035836,1142.234895146011,2.289798136375208,2.017008461345937,58.333333333333336,12,12.894775672145624,149.01813316378826,11774.80578115055,981.2338150958792,136470.89381409713
1y,71,CompositeMomentumIndexStrategy,"{""roc_period"": 6, ""rsi_period"": 25, ""signal_threshold"": 0.796969369045957, ""tsi_long"": 31, ""tsi_short"": 7}",mar,118372767908.04822,11837.276790804824,-24.21430939037421,-99.7381334979267,-90.90899942035836,12204.602826829,3.20409883795136,2.890498460764616,50.0,8,25.82299243631776,130.2101757392564,6792.964366516106,849.1205458145132,119372.76790804823
all,131,CompositeMomentumIndexStrategy,"{""roc_period"": 11, ""rsi_period"": 29, ""signal_threshold"": 0.8393889786961856, ""tsi_long"": 23, ""tsi_short"": 20}",mar,90794708553.7107,9079.47085537107,200.10062012394803,-99.7381334979267,-90.90899942035836,913.7715444424372,2.1727028625710263,1.989778254381651,58.333333333333336,12,11.757447978678888,99.87427992016588,7945.373159342911,662.1144299452426,91794.70855371068
all,121,CompositeMomentumIndexStrategy,"{""roc_period"": 10, ""rsi_period"": 24, ""signal_threshold"": 0.33076568535305984, ""tsi_long"": 16, ""tsi_short"": 19}",mar,90232037371.99454,9023.203737199454,200.10062012394803,-99.7381334979267,-90.90899942035836,910.5820660444238,2.2023974286056576,1.6414089582348907,60.0,20,8.204756928483071,99.2553409973928,5945.892128218987,297.2946064109493,91232.03737199452
all,26,CompositeMomentumIndexStrategy,"{""roc_period"": 9, ""rsi_period"": 21, ""signal_threshold"": 0.7, ""tsi_long"": 25, ""tsi_short"": 7}",mar,76281052712.60991,7628.105271260992,200.10062012394803,-99.7381334979267,-90.90899942035836,828.1830439531991,2.129325388476643,1.82770778750312,70.83333333333334,24,7.148767096095664,83.90924242812353,5037.785044911056,209.9077102046273,77281.05271260992
all,141,CompositeMomentumIndexStrategy,"{""roc_period"": 10, ""rsi_period"": 30, ""signal_threshold"": 0.8903212012833973, ""tsi_long"": 35, ""tsi_short"": 15}",mar,67675427939.12871,6767.542793912871,200.10062012394803,-99.7381334979267,-90.90899942035836,773.6892867280949,2.098098813890159,1.8063368239195496,55.55555555555556,9,14.320625342407212,74.4430456507404,4864.582398337307,540.5091553708119,68675.42793912871
all,150,Strategy_62_RSIAvgs,"{""ma_periods"": [5, 10, 20], ""overbought"": 74, ""oversold"": 16, ""rsi_period"": 12, ""signal_threshold"": 0.6}",mar,53469510706.15896,5346.951070615896,200.10062012394803,-99.7381334979267,-73.56834732914186,675.8453542116832,2.733791860124447,0.5188252524353795,78.94736842105263,19,13.10234643176674,72.68004875376431,2723.865307868381,143.3613319930727,54469.510706158966
1y,141,CompositeMomentumIndexStrategy,"{""roc_period"": 5, ""rsi_period"": 17, ""signal_threshold"": 0.8377609599171425, ""tsi_long"": 16, ""tsi_short"": 12}",mar,50353810216.46416,5035.381021646416,-24.21430939037421,-99.7381334979267,-91.7005870247515,5165.181951633456,2.863914273016799,2.6130892349854555,52.63157894736842,19,10.795857801942208,54.91111000507863,2196.035288893302,115.58080467859484,51353.81021646416
all,181,CompositeMomentumIndexStrategy,"{""roc_period"": 11, ""rsi_period"": 29, ""signal_threshold"": 0.5397417600537572, ""tsi_long"": 25, ""tsi_short"": 5}",mar,45482459878.37672,4548.245987837672,200.10062012394803,-99.7381334979267,-92.6900859904186,615.2902615079242,2.0038621224526314,1.545851312210828,60.0,15,8.269251396601064,49.06939009969011,1507.2871015679295,100.4858067711953,46482.45987837672
all,66,CompositeMomentumIndexStrategy,"{""roc_period"": 10, ""rsi_period"": 25, ""signal_threshold"": 0.7721323107346048, ""tsi_long"": 15, ""tsi_short"": 10}",mar,39988302674.79023,3998.8302674790234,200.10062012394803,-99.7381334979267,-90.90899942035836,570.6330821670934,1.9694512038701113,1.475611605407567,68.18181818181817,22,6.8129491358288785,43.98717720991126,2334.4593174869997,106.11178715849998,40988.30267479023
all,101,CompositeMomentumIndexStrategy,"{""roc_period"": 5, ""rsi_period"": 13, ""signal_threshold"": 0.6602796732693447, ""tsi_long"": 29, ""tsi_short"": 20}",mar,39925267014.23344,3992.526701423344,200.10062012394803,-99.7381334979267,-93.98244971383916,570.1043126542703,1.9623734670937965,1.791763926511193,57.692307692307686,26,6.233122813872538,42.48161985115221,4142.227252312588,159.31643278125335,40925.26701423344
all,156,CompositeMomentumIndexStrategy,"{""roc_period"": 10, ""rsi_period"": 28, ""signal_threshold"": 0.831202236921371, ""tsi_long"": 23, ""tsi_short"": 15}",mar,34950064836.78035,3495.006483678035,200.10062012394803,-99.7381334979267,-91.11721499103828,527.0366939425701,1.926467329576776,1.5957250199569362,57.14285714285714,14,7.719391567711217,38.357257561282815,1494.4605563168982,106.74718259406416,35950.06483678035
all,111,CompositeMomentumIndexStrategy,"{""roc_period"": 7, ""rsi_period"": 14, ""signal_threshold"": 0.7, ""tsi_long"": 34, ""tsi_short"": 17}",mar,33919819956.11015,3391.9819956110155,200.10062012394803,-99.7381334979267,-90.90899942035836,517.7621483822078,1.919963126576517,1.6794097568987725,60.71428571428571,28,4.454653775124124,37.31183950146312,2098.1071267894467,74.93239738533738,34919.81995611015
1y,26,CompositeMomentumIndexStrategy,"{""roc_period"": 9, ""rsi_period"": 18, ""signal_threshold"": 0.5216274254718057, ""tsi_long"": 28, ""tsi_short"": 8}",mar,28154211453.73717,2815.421145373717,-24.21430939037421,-99.7381334979267,-90.90899942035836,2878.4053803799397,2.653883396573588,1.9239599589114225,61.904761904761905,21,5.761829835648564,30.969663766239023,1166.140121073764,55.53048195589353,29154.211453737167
1y,31,CompositeMomentumIndexStrategy,"{""roc_period"": 6, ""rsi_period"": 14, ""signal_threshold"": 0.5092433139042354, ""tsi_long"": 29, ""tsi_short"": 18}",mar,26643496949.529144,2664.3496949529144,-24.21430939037421,-99.7381334979267,-90.90899942035836,2723.118065591186,2.6143874516038967,2.1859388057146334,57.89473684210527,19,6.390596407117133,29.307876139226913,936.999334254077,49.3157544344251,27643.496949529144
